Compounds,Group,m,kai,EA,IE1,Rvdw,Rcov
La1Li1O2,9,44.46025,2.24,1.010061,9.55118,1.8225,1.13
La3Li1O5,10,55.96011,2.386667,1.047068,10.02363,1.856667,1.146667
La5Li1O8,10.28571,59.24579,2.428571,1.057641,10.15862,1.866429,1.151429
La1Li1O2,9,44.46025,2.24,1.010061,9.55118,1.8225,1.13
La4Li2O7,9.692308,52.42169,2.341538,1.035681,9.878261,1.846154,1.141538
La3Li1O5,10,55.96011,2.386667,1.047068,10.02363,1.856667,1.146667
La1Li3O3,7.714286,29.67471,2.051429,0.962481,8.943744,1.778571,1.108571
La1Li1O2,9,44.46025,2.24,1.010061,9.55118,1.8225,1.13
La5Li3O9,9.529412,50.54841,2.317647,1.029653,9.8013,1.840588,1.138824
La2Li4O5,8.181818,35.05127,2.12,0.979783,9.16463,1.794545,1.116364
La1Li1O2,9,44.46025,2.24,1.010061,9.55118,1.8225,1.13
La1Li5O4,7.2,23.7605,1.976,0.943449,8.70077,1.761,1.1
La3Li5O7,8.4,37.56033,2.152,0.987857,9.26771,1.802,1.12
La1Li1O2,9,44.46025,2.24,1.010061,9.55118,1.8225,1.13
La1Li3O3,7.714286,29.67471,2.051429,0.962481,8.943744,1.778571,1.108571
La4Li6O9,8.526316,39.01295,2.170526,0.992531,9.327388,1.806316,1.122105
La1Li7O5,6.923077,20.57592,1.935385,0.933201,8.569937,1.751538,1.095385
La3Li7O8,8,32.96039,2.093333,0.973054,9.07873,1.788333,1.113333
La2Li8O7,7.411765,26.19576,2.007059,0.951285,8.800818,1.768235,1.103529
La2Li4O5,8.181818,35.05127,2.12,0.979783,9.16463,1.794545,1.116364
La1Li9O6,6.75,18.58556,1.91,0.926796,8.488167,1.745625,1.0925
La1Li3O3,7.714286,29.67471,2.051429,0.962481,8.943744,1.778571,1.108571
La1Li5O4,7.2,23.7605,1.976,0.943449,8.70077,1.761,1.1
La1Na1O2,9,48.4725,2.2275,0.992543,9.488019,1.935,1.205
La3Na1O5,10,57.74333,2.381111,1.039282,9.995558,1.906667,1.18
La5Na1O8,10.28571,60.39214,2.425,1.052636,10.14057,1.898571,1.172857
La1Na1O2,9,48.4725,2.2275,0.992543,9.488019,1.935,1.205
La4Na2O7,9.692308,54.89077,2.333846,1.024901,9.839392,1.915385,1.187692
La3Na1O5,10,57.74333,2.381111,1.039282,9.995558,1.906667,1.18
La1Na3O3,7.714286,36.55286,2.03,0.932451,8.835468,1.971429,1.237143
La1Na1O2,9,48.4725,2.2275,0.992543,9.488019,1.935,1.205
La5Na3O9,9.529412,53.38059,2.308824,1.017287,9.756716,1.92,1.191765
La2Na4O5,8.181818,40.88727,2.101818,0.954303,9.072759,1.958182,1.225455
La1Na1O2,9,48.4725,2.2275,0.992543,9.488019,1.935,1.205
La1Na5O4,7.2,31.785,1.951,0.908414,8.574448,1.986,1.25
La3Na5O7,8.4,42.91,2.135333,0.9645,9.183495,1.952,1.22
La1Na1O2,9,48.4725,2.2275,0.992543,9.488019,1.935,1.205
La1Na3O3,7.714286,36.55286,2.03,0.932451,8.835468,1.971429,1.237143
La4Na6O9,8.526316,44.08105,2.154737,0.970404,9.247606,1.948421,1.216842
La1Na7O5,6.923077,29.21769,1.908462,0.895471,8.433899,1.993846,1.256923
La3Na7O8,8,39.20167,2.073889,0.945805,8.98048,1.963333,1.23
La2Na8O7,7.411765,33.74824,1.983529,0.918311,8.681927,1.98,1.244706
La2Na4O5,8.181818,40.88727,2.101818,0.954303,9.072759,1.958182,1.225455
La1Na9O6,6.75,27.61313,1.881875,0.887381,8.346055,1.99875,1.26125
La1Na3O3,7.714286,36.55286,2.03,0.932451,8.835468,1.971429,1.237143
La1Na5O4,7.2,31.785,1.951,0.908414,8.574448,1.986,1.25
La2Mg1O4,10.28571,52.30143,2.467143,0.977784,10.46746,1.81,1.12
La4Mg1O7,10.5,57.65917,2.4825,1.018988,10.44002,1.840833,1.136667
La6Mg1O10,10.58824,59.86529,2.488824,1.035954,10.42871,1.853529,1.143529
La2Mg2O5,10,45.15778,2.446667,0.922845,10.50406,1.768889,1.097778
La2Mg1O4,10.28571,52.30143,2.467143,0.977784,10.46746,1.81,1.12
La2Mg3O6,9.818182,40.61182,2.433636,0.887884,10.52735,1.742727,1.083636
La4Mg3O9,10.125,48.28313,2.455625,0.946881,10.48805,1.786875,1.1075
La2Mg4O7,9.692308,37.46462,2.424615,0.863681,10.54347,1.724615,1.073846
La2Mg2O5,10,45.15778,2.446667,0.922845,10.50406,1.768889,1.097778
La2Mg5O8,9.6,35.15667,2.418,0.845931,10.55529,1.711333,1.066667
La2Mg6O9,9.529412,33.39176,2.412941,0.832358,10.56433,1.701176,1.061176
La2Mg7O10,9.473684,31.99842,2.408947,0.821643,10.57147,1.693158,1.056842
Al1La1O3,12.8,42.776,2.606,1.064873,10.48336,1.766,1.02
Al1La3O6,11.8,53.968,2.555,1.070773,10.44248,1.825,1.09
Al1La5O9,11.46667,57.69867,2.538,1.07274,10.42885,1.844667,1.113333
Al1La1O3,12.8,42.776,2.606,1.064873,10.48336,1.766,1.02
Al2La4O9,12.13333,50.23733,2.572,1.068806,10.45611,1.805333,1.066667
Al3La1O6,13.8,31.584,2.657,1.058973,10.52425,1.707,0.95
Al1La1O3,12.8,42.776,2.606,1.064873,10.48336,1.766,1.02
Al4La2O9,13.46667,35.31467,2.64,1.06094,10.51062,1.726667,0.973333
Al5La1O9,14.13333,27.85333,2.674,1.057006,10.53788,1.687333,0.926667
K1La1O2,9,52.5,2.2,0.980928,9.288416,2.055,1.305
K1La3O5,10,59.53333,2.368889,1.03412,9.906846,1.96,1.224444
K1La5O8,10.28571,61.54286,2.417143,1.049317,10.08354,1.932857,1.201429
K1La1O2,9,52.5,2.2,0.980928,9.288416,2.055,1.305
K2La4O7,9.692308,57.36923,2.316923,1.017753,9.71656,1.989231,1.249231
K1La3O5,10,59.53333,2.368889,1.03412,9.906846,1.96,1.224444
K3La1O3,7.714286,43.45714,1.982857,0.912539,8.493291,2.177143,1.408571
K1La1O2,9,52.5,2.2,0.980928,9.288416,2.055,1.305
K3La5O9,9.529412,56.22353,2.289412,1.009088,9.61582,2.004706,1.262353
K4La2O5,8.181818,46.74545,2.061818,0.937408,8.782428,2.132727,1.370909
K1La1O2,9,52.5,2.2,0.980928,9.288416,2.055,1.305
K5La1O4,7.2,39.84,1.896,0.885184,8.175242,2.226,1.45
K5La3O7,8.4,48.28,2.098667,0.949013,8.917358,2.112,1.353333
K1La1O2,9,52.5,2.2,0.980928,9.288416,2.055,1.305
K3La1O3,7.714286,43.45714,1.982857,0.912539,8.493291,2.177143,1.408571
K6La4O9,8.526316,49.16842,2.12,0.955732,8.995475,2.1,1.343158
K7La1O5,6.923077,37.89231,1.849231,0.870454,8.003984,2.252308,1.472308
K7La3O8,8,45.46667,2.031111,0.927737,8.669986,2.15,1.385556
K8La2O7,7.411765,41.32941,1.931765,0.896448,8.306203,2.205882,1.432941
K4La2O5,8.181818,46.74545,2.061818,0.937408,8.782428,2.132727,1.370909
K9La1O6,6.75,36.675,1.82,0.861247,7.896948,2.26875,1.48625
K3La1O3,7.714286,43.45714,1.982857,0.912539,8.493291,2.177143,1.408571
K5La1O4,7.2,39.84,1.896,0.885184,8.175242,2.226,1.45
Ca1La2O4,10.28571,54.55429,2.422857,0.977784,10.24845,1.892857,1.168571
Ca1La4O7,10.5,58.97333,2.456667,1.018988,10.31226,1.889167,1.165
Ca1La6O10,10.58824,60.79294,2.470588,1.035954,10.33853,1.887647,1.163529
Ca2La2O5,10,48.66222,2.377778,0.922845,10.16337,1.897778,1.173333
Ca1La2O4,10.28571,54.55429,2.422857,0.977784,10.24845,1.892857,1.168571
Ca3La2O6,9.818182,44.91273,2.349091,0.887884,10.10923,1.900909,1.176364
Ca3La4O9,10.125,51.24,2.3975,0.946881,10.2006,1.895625,1.17125
Ca4La2O7,9.692308,42.31692,2.329231,0.863681,10.07175,1.903077,1.178462
Ca2La2O5,10,48.66222,2.377778,0.922845,10.16337,1.897778,1.173333
Ca5La2O8,9.6,40.41333,2.314667,0.845931,10.04427,1.904667,1.18
Ca6La2O9,9.529412,38.95765,2.303529,0.832358,10.02325,1.905882,1.181176
Ca7La2O10,9.473684,37.80842,2.294737,0.821643,10.00665,1.906842,1.182105
La1O3Sc1,10.8,46.372,2.556,1.014273,10.59851,1.828,1.09
La3O6Sc1,10.8,55.766,2.53,1.045473,10.50005,1.856,1.125
La5O9Sc1,10.8,58.89733,2.521333,1.055873,10.46723,1.865333,1.136667
