Symbol,Z,Period,Group,Ns,Np,Nd,Nf,m,kai,EA,IE1,Rvdw,Rcov,MP,BP,rho,E-fusion,ThermalConductivity,CuKa,MoKa
H,1,1,1,1.0,0.0,0.0,0.0,1.008,2.2,0.754209,13.598443,1.1,0.32,-259.16,-252.879,0.0899,0.558,0.001815,0.391,0.373
He,2,1,18,2.0,0.0,0.0,0.0,4.003,0.0,0.0,24.587387,1.4,0.37,0.0,-268.928,0.1785,0.02,0.00152,0.292,0.202
Li,3,2,1,1.0,0.0,0.0,0.0,6.941,0.98,0.618,5.391719,1.82,1.3,180.5,1342.0,0.535,3.0,0.847,0.5,0.198
Be,4,2,2,2.0,0.0,0.0,0.0,9.012,1.57,0.0,9.3227,1.53,0.99,1287.0,2468.0,1.848,7.95,2.01,1.11,0.256
B,5,2,13,2.0,1.0,0.0,0.0,10.81,2.04,0.277,8.29802,1.92,0.84,2077.0,4000.0,2.46,50.0,0.274,2.31,0.368
C,6,2,14,2.0,2.0,0.0,0.0,12.01,2.55,1.2629,11.2603,1.7,0.75,3530.0,3825.0,2.26,105.0,1.29,4.51,0.577
N,7,2,15,2.0,3.0,0.0,0.0,14.01,3.04,-0.07,14.5341,1.55,0.71,-210.0,-195.795,1.251,0.36,0.0002598,7.44,0.843
O,8,2,16,2.0,4.0,0.0,0.0,16.0,3.44,1.4611215,13.61805,1.52,0.64,-218.79,-182.962,1.429,0.222,0.0002674,11.4,1.22
F,9,2,17,2.0,5.0,0.0,0.0,19.0,3.98,3.399,17.4228,1.47,0.6,-219.67,-188.11,1.696,0.26,0.000279,15.8,1.63
Ne,10,2,18,2.0,6.0,0.0,0.0,20.18,0.0,0.0,21.56454,1.54,0.62,-248.59,-246.046,0.9,0.34,0.000493,22.9,2.35
Na,11,3,1,1.0,0.0,0.0,0.0,22.99,0.93,0.54793,5.139076,2.27,1.6,97.794,882.94,0.968,2.6,1.41,29.9,3.04
Mg,12,3,2,2.0,0.0,0.0,0.0,24.31,1.31,0.0,7.646235,1.73,1.4,650.0,1090.0,1.738,8.7,1.56,39.9,4.09
Al,13,3,13,2.0,1.0,0.0,0.0,26.98,1.61,0.441,5.985768,1.84,1.24,660.323,2519.0,2.7,10.7,2.37,49.5,5.11
Si,14,3,14,2.0,2.0,0.0,0.0,28.09,1.9,1.385,8.15168,2.1,1.14,1414.0,3265.0,2.33,50.2,1.48,63.7,6.65
P,15,3,15,2.0,3.0,0.0,0.0,30.97,2.19,0.7465,10.48669,1.8,1.09,44.15,280.5,1.823,0.64,0.00235,75.4,7.97
S,16,3,16,2.0,4.0,0.0,0.0,32.07,2.58,2.07712,10.36001,1.8,1.04,115.21,444.61,1.96,1.73,0.00269,93.4,9.99
Cl,17,3,17,2.0,5.0,0.0,0.0,35.45,3.16,3.617,12.96763,1.75,1.0,-101.5,-34.04,3.214,3.2,8.9e-05,106.0,11.5
Ar,18,3,18,2.0,6.0,0.0,0.0,39.95,0.0,0.0,15.75961,1.88,1.01,-189.34,-185.848,1.784,1.18,0.0001772,116.0,12.8
K,19,4,1,1.0,0.0,0.0,0.0,39.1,0.82,0.50147,4.3406633,2.75,2.0,63.5,759.0,0.856,2.33,1.024,145.0,16.2
Ca,20,4,2,2.0,0.0,0.0,0.0,40.08,1.0,0.0,6.11316,2.31,1.74,842.0,1484.0,1.55,8.54,2.01,170.0,19.4
Sc,21,4,3,2.0,0.0,1.0,0.0,44.96,1.36,0.188,6.56149,2.15,1.59,1541.0,2836.0,2.985,16.0,0.158,181.0,20.9
