Symbol,Z,Period,Group,RareEarth,Ns,Np,Nd,Nf,m,kai,EA,Nval,IE1,IE2,IE3,Rvdw,Rcov,MP,BP,Cp-g,Cp-mol,rho,E-fusion,E-vapor,ThermalConductivity,ElectricalConductivity,MolerMagneticSusceptibility,ThermalExpansion,CuKa,MoKa
H,1,1,1,0,1,0,0,0,1.008,2.2,0.754209,1,13.598443,,,1.1,0.32,-259.16,-252.879,14.304,28.836,0.0899,0.558,0.4581,0.001815,,-2.50E-11,N/A,0.391,0.373
He,2,1,18,0,2,0,0,0,4.003,NA,0,0,24.587387,54.41776,,1.4,0.37,,-268.928,5.193,20.786,0.1785,0.02,0.084,0.00152,,-2.36E-11,N/A,0.292,0.202
Li,3,2,1,0,1,0,0,0,6.941,0.98,0.618,1,5.391719,75.64,122.45429,1.82,1.3,180.5,1342,3.582,24.86,0.535,3,147.1,0.847,0.108,4.37E-11,0.000046,0.5,0.198
Be,4,2,2,0,2,0,0,0,9.012,1.57,0,2,9.3227,18.21114,153.89661,1.53,0.99,1287,2468,1.825,16.443,1.848,7.95,297,2.01,0.313,-1.14E-10,0.0000113,1.11,0.256
B,5,2,13,0,2,1,0,0,10.81,2.04,0.277,3,8.29802,25.1548,37.93064,1.92,0.84,2077,4000,1.026,11.087,2.46,50,507.8,0.274,1.00E-12,-9.41E-11,6.00E-06,2.31,0.368
C,6,2,14,0,2,2,0,0,12.01,2.55,1.2629,4,11.2603,24.3833,47.8878,1.7,0.75,3530,3825,0.709,8.517,2.26,105,715,1.29,0.00061,-7.45E-11,7.10E-06,4.51,0.577
N,7,2,15,0,2,3,0,0,14.01,3.04,-0.07,-3,14.5341,29.6013,47.44924,1.55,0.71,-210,-195.795,1.04,29.124,1.251,0.36,2.7928,0.0002598,,-1.40E-10,N/A,7.44,0.843
O,8,2,16,0,2,4,0,0,16,3.44,1.4611215,-2,13.61805,35.1211,54.9355,1.52,0.64,-218.79,-182.962,0.918,29.378,1.429,0.222,3.4109,0.0002674,,2.14E-08,N/A,11.4,1.22
F,9,2,17,0,2,5,0,0,19,3.98,3.399,-1,17.4228,34.9708,62.7084,1.47,0.6,-219.67,-188.11,0.824,31.304,1.696,0.26,3.2698,0.000279,,N/A,N/A,15.8,1.63
Ne,10,2,18,0,2,6,0,0,20.18,NA,0,0,21.56454,40.96296,63.45,1.54,0.62,-248.59,-246.046,1.03,20.786,0.9,0.34,1.77,0.000493,,-8.27E-11,N/A,22.9,2.35
