Compound,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity,energy,energy_per_atom,volume
Al2BaO4,-0.966138268,-1.116555012,0.628062393,-0.918502901,0.889396631,-0.448580253,0.48170767,0.374276007,-0.898738656,-1.151880372,-0.454357641,-0.070706507,0.354720316,-0.25726759,-0.960969002,-0.471631747,0.287574014,0.738413076,-404.7193137,-7.227130602,861.0196365
Al2BaS4,-0.593245522,-0.401632982,0.628062393,-0.619193385,-0.131712164,0.042746512,-0.496205353,-0.508181118,-0.193153843,-0.167370648,0.321291119,0.704822031,0.074880454,-0.684917014,-0.769730048,-0.255130718,0.382453562,0.742608671,-434.7166372,-5.175198062,2095.583327
Al2BaTe4,1.084771835,1.028211074,0.628062393,1.160087142,-0.701633351,-0.042055417,-0.901536021,-0.863005687,0.462032056,0.644849871,1.097636569,1.3763218,-0.599400355,-0.490880214,0.771706337,2.008941713,0.967504028,0.778648598,-56.56317106,-4.040226504,511.2047229
Al2BeO4,-1.57208898,-1.83147704,0.628062393,-1.515855409,1.091243717,-0.448580253,0.790193421,0.527939418,-1.62322306,-1.81027125,-0.129235406,0.121763154,0.894744622,-0.44341164,-1.110610781,-0.473426351,0.852033238,1.529005386,-206.9777084,-7.392061013,234.2911192
Al2CaO4,-1.385642607,-1.474016026,0.628062393,-1.371192247,0.922048366,-0.448580253,0.549354532,0.409248043,-1.131833639,-1.348782314,-0.387591468,-0.182233871,0.502302528,-0.291544224,-1.137441859,-0.452250023,0.339664098,1.529005386,-608.6428142,-7.245747789,1107.746129
Al2CaS4,-1.012749861,-0.759093997,0.628062393,-1.071882731,-0.099060429,0.042746512,-0.428558495,-0.47320908,-0.426248826,-0.364272594,0.388057292,0.593294668,0.222462666,-0.719193647,-0.946202905,-0.235748994,0.434543646,1.533200981,-287.2234668,-5.128990478,1244.948389
Al2CaSe4,-0.173741183,-0.044171969,0.628062393,-0.198539657,-0.134680503,-0.00281299,-0.610937935,-0.63406596,-0.174254251,-0.019694191,0.633269126,0.890359077,-0.293242221,-0.548658994,0.083462194,0.291146746,0.669542996,1.563872153,-63.77067074,-4.55504791,362.4050943
Al2CdO4,-1.059361455,-1.295285519,1.095958486,-1.03444576,1.126863791,-0.448580253,0.765514776,0.503546858,-1.213731874,-1.557990631,-0.690031201,-0.403743897,0.363715169,-0.290087347,-0.498177937,-0.532648284,0.142391359,1.077856872,-90.48575042,-6.463267887,152.3773079
Al2CdS4,-0.686468709,-0.580363489,1.095958486,-0.735136244,0.105754999,0.042746512,-0.212398247,-0.378910265,-0.508147061,-0.573480907,0.085617559,0.37178464,0.083875307,-0.71773677,-0.306938984,-0.316147255,0.237270908,1.082052467,-63.17283786,-4.512345561,279.1646463
Al2CdSe4,0.15253997,0.134558539,1.095958486,0.13820683,0.070134925,-0.00281299,-0.394777688,-0.539767145,-0.256152486,-0.228902504,0.330829393,0.668849051,-0.431829581,-0.547202117,0.722726115,0.210748486,0.472270256,1.112723638,-55.49729301,-3.964092358,330.0787377
