,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,73302,A8NOP2X8,((CO)4Co)4S2Sn2,0.049,70,orthorhombic,F,80.0,320.0,320.0,320.0,badcount_n,po_n,undet_n,ct_n,218,noPress,oF320,h9_f_e,0,5,C16_Co4_O16_S2_Sn2,5,C+2,Co+0,O-2,S+0,Sn+0,,
1,73303,A8NOP2X8,((CO)4Co)4S2Sn2,0.075,70,orthorhombic,F,80.0,320.0,320.0,320.0,badcount_n,po_n,undet_n,ct_n,183,noPress,oF320,h9_f_e,0,5,C16_Co4_O16_Se2_Sn2,5,C+2,Co+0,O-2,Se+0,Sn+0,,
2,236277,A5X8,(Al2O3)5H2O,0.0287,186,hexagonal,P,28.0,28.0,28.0,28.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,hP28,c3_b3_a,i,3,H1_Ga5_O8,3,Ga+3,H+1,O-2,,,,
3,23651,A5X8,(Al2O3)5H2O,0.08,186,hexagonal,P,28.0,28.0,28.0,28.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,hP28,c3_b3_a,i,3,H2_Al10_O16,3,Al+3,H+1,O-2,,,,
4,82492,AB2C3D6X38,(AlMn2(OH)6)3Na(SO4)2(H2O)12,0.042,148,trigonal/rhombohedral,R,92.0,276.0,276.0,276.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,hR92,f7_c3_b_a,i,6,H42_Al3_Mn6_Na1_O38_S2,6,Al+3,H+1,Mn+2,Na+1,O-2,S+6,
5,100310,A2B3X8,"(Ba,Eu)4Si6O16",0.051,14,monoclinic,P,52.0,52.0,52.0,52.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP52,e13,i,3,Ba4_O16_Si6,3,Ba+2,O-2,Si+4,,,,
6,423111,AB2X5,"(Bi,Ce)Rh2O5",0.0197,62,orthorhombic,P,32.0,32.0,32.0,32.0,badcount_n,po_n,undet_n,ct_n,173,noPress,oP32,d3_c2,i,3,Ce1_O5_Rh2,3,Ce+4,O-2,Rh+3,,,,
7,81307,A12NO2X12,(CO)2Fe2(CO)6Os(CO)4,0.027000000000000003,7,monoclinic,P,108.0,108.0,108.0,108.0,badcount_n,po_n,undet_n,ct_n,120,noPress,mP108,a54,0,4,C12_Fe2_O12_Os1,4,C+2,Fe+0,O-2,Os+0,,,
8,246776,AX3,(COOH)2(H2O)2,0.027999999999999997,14,monoclinic,P,28.0,28.0,28.0,28.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP28,e4,i,3,C2_D6_O6,3,C+3,D+1,O-2,,,,
9,246777,AX3,(COOH)2(H2O)2,0.027999999999999997,14,monoclinic,P,28.0,28.0,28.0,28.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP28,e4,i,3,C2_H6_O6,3,C+3,H+1,O-2,,,,
10,251018,AB2X3,"(Ca,Sr)2CuO3",0.0391,71,orthorhombic,I,6.0,12.0,12.0,12.0,badcount_n,po_n,undet_n,ct_n,9,noPress,oI12,i2_d_a,i,3,Fe1_O3_Sr2,3,Fe+2,O-2,Sr+2,,,,
11,413514,A2B2C2X11,(CoSO4)2(HgO)2H2O,0.0304,57,orthorhombic,P,76.0,76.0,76.0,76.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP76,e6_d4_c,i,5,H2_Co2_Hg2_O11_S2,5,Co+2,H+1,Hg+2,O-2,S+6,,
12,413515,A2B2C2X11,(CoSO4)2(HgO)2H2O,0.026000000000000002,57,orthorhombic,P,76.0,76.0,76.0,76.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP76,e6_d4_c,i,5,H2_Hg2_O11_S2_Zn2,5,H+1,Hg+2,O-2,S+6,Zn+2,,
13,413516,A2B2C2X11,(CoSO4)2(HgO)2H2O,0.0246,57,orthorhombic,P,76.0,76.0,76.0,76.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP76,e6_d4_c,i,5,H2_Hg2_O11_Se2_Zn2,5,H+1,Hg+2,O-2,Se+6,Zn+2,,
14,39439,ABX4,"(Cu,Zn)WO4",0.026000000000000002,2,triclinic,P,12.0,12.0,12.0,12.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP12,i6,i,3,Cu1_Mo1_O4,3,Cu+2,Mo+6,O-2,,,,
15,84558,ABX4,"(Cu,Zn)WO4",0.015,2,triclinic,P,12.0,12.0,12.0,12.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP12,i6,i,3,Cu1_O4_W1,3,Cu+2,O-2,W+6,,,,
16,413886,AB3X4,(Hg2)3(AsO4)2,0.0195,14,monoclinic,P,32.0,32.0,32.0,32.0,badcount_n,po_n,undet_n,ct_n,295,noPress,mP32,e8,i,3,As2_Hg6_O8,3,As+5,Hg+1,O-2,,,,
17,410760,AB3X4,(Hg2)3(AsO4)2,0.0391,14,monoclinic,P,32.0,32.0,32.0,32.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP32,e8,i,3,Hg6_O8_P2,3,Hg+1,O-2,P+5,,,,
18,62836,ABC2X7,(KPO3)4(H2O)2,0.022000000000000002,2,triclinic,P,52.0,52.0,52.0,52.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP52,i22,i,5,H4_K2_Na2_O14_P4,5,H+1,K+1,Na+1,O-2,P+5,,
19,62835,A2B2X7,(KPO3)4(H2O)2,0.021,2,triclinic,P,52.0,52.0,52.0,52.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP52,i22,i,4,H4_K4_O14_P4,4,H+1,K+1,O-2,P+5,,,
20,78719,ABCX4,"(La,K)2CuO4",0.085,129,tetragonal,P,14.0,14.0,14.0,14.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,tP14,f_c5,i,4,Ag1_La1_O4_Ti1,4,Ag+1,La+3,O-2,Ti+4,,,
21,82006,ABCX4,"(La,K)2CuO4",0.027000000000000003,129,tetragonal,P,14.0,14.0,14.0,14.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,tP14,f_c5,i,4,Gd1_Na1_O4_Ti1,4,Gd+3,Na+1,O-2,Ti+4,,,
22,261365,ABCX4,"(La,K)2CuO4",0.05,129,tetragonal,P,14.0,14.0,14.0,14.0,badcount_n,po_n,undet_n,ct_n,298,noPress,tP14,f_c5,i,4,K1_La1_O4_Ti1,4,K+1,La+3,O-2,Ti+4,,,
23,82003,ABCX4,"(La,K)2CuO4",0.016,129,tetragonal,P,14.0,14.0,14.0,14.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,tP14,f_c5,i,4,La1_Na1_O4_Ti1,4,La+3,Na+1,O-2,Ti+4,,,
