Symbol,Z,Period,Group,m,kai,EA,Nval,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
Li,3,2,1,6.941,0.98,0.618,1,5.391719,75.64,1.82,1.3,453.65,1615.15,3.582,24.86,0.535,3,147.1,0.847
Be,4,2,2,9.012,1.57,0,2,9.3227,18.21114,1.53,0.99,1560.15,2741.15,1.825,16.443,1.848,7.95,297,2.01
N,7,2,15,14.01,3.04,-0.07,-3,14.5341,29.6013,1.55,0.71,63.15,77.355,1.04,29.124,1.251,0.36,2.7928,0.0002598
O,8,2,16,16,3.44,1.4611215,-2,13.61805,35.1211,1.52,0.64,54.36,90.188,0.918,29.378,1.429,0.222,3.4109,0.0002674
F,9,2,17,19,3.98,3.399,-1,17.4228,34.9708,1.47,0.6,53.48,85.04,0.824,31.304,1.696,0.26,3.2698,0.000279
Na,11,3,1,22.99,0.93,0.54793,1,5.139076,47.2864,2.27,1.6,370.944,1156.09,1.228,28.23,0.968,2.6,98.01,1.41
Mg,12,3,2,24.31,1.31,0,2,7.646235,15.03527,1.73,1.4,923.15,1363.15,1.023,24.869,1.738,8.7,127.6,1.56
Al,13,3,13,26.98,1.61,0.441,3,5.985768,18.82855,1.84,1.24,933.473,2792.15,0.897,24.2,2.7,10.7,290.8,2.37
P,15,3,15,30.97,2.19,0.7465,-3,10.48669,19.7695,1.8,1.09,317.3,553.65,0.769,23.824,1.823,0.64,12.4,0.00235
S,16,3,16,32.07,2.58,2.07712,-2,10.36001,23.33788,1.8,1.04,388.36,717.76,0.708,22.7,1.96,1.73,10,0.00269
Cl,17,3,17,35.45,3.16,3.617,-1,12.96763,23.8136,1.75,1,171.65,239.11,0.479,33.949,3.214,3.2,10.2,0.000089
K,19,4,1,39.1,0.82,0.50147,1,4.3406633,31.63,2.75,2,336.65,1032.15,0.757,29.6,0.856,2.33,76.9,1.024
Ca,20,4,2,40.08,1,0,2,6.11316,11.87172,2.31,1.74,1115.15,1757.15,0.647,25.929,1.55,8.54,154.67,2.01
Sc,21,4,3,44.96,1.36,0.188,3,6.56149,12.79977,2.15,1.59,1814.15,3109.15,0.568,25.52,2.985,16,304.8,0.158
Zn,30,4,12,65.39,1.65,0,2,9.394199,17.96439,2.01,1.2,692.677,1180.15,0.388,25.39,7.14,7.35,115.3,1.16
Ga,31,4,13,69.72,1.81,0.3,3,5.999301,20.51515,1.87,1.23,302.9146,2502.15,0.373,26.03,5.904,5.59,256.06,0.406
As,33,4,15,74.92,2.18,0.81,-3,9.7886,18.5892,1.85,1.2,1090.15,889.15,0.329,24.64,5.727,27.7,32.4,0.502
Se,34,4,16,78.96,2.55,2.02,-2,9.75239,21.19,1.9,1.18,493.95,958.15,0.321,25.363,4.819,5.4,26.32,0.0204
Br,35,4,17,79.9,2.96,3.365,-1,11.8138,21.591,1.85,1.17,265.95,331.95,0.474,75.69,3.12,5.8,14.725,0.00122
Rb,37,5,1,85.47,0.82,0.48592,1,4.177128,27.2895,3.03,2.15,312.45,961.15,0.363,31.06,1.532,2.19,69.2,0.582
Sr,38,5,2,87.62,0.95,0,2,5.69485,11.0301,2.49,1.9,1050.15,1650.15,0.306,26.79,2.63,8,136.9,0.353
Y,39,5,3,88.91,1.22,0.307,3,6.2173,12.224,2.32,1.76,1795.15,3618.15,0.298,26.53,4.472,11.4,363.3,0.172
Cd,48,5,12,112.4,1.69,0,2,8.99382,16.90831,2.18,1.4,594.219,1040.15,0.231,26.02,8.65,6.3,99.87,0.968
In,49,5,13,114.8,1.78,0.3,3,5.78636,18.8703,1.93,1.42,429.75,2300.15,0.233,26.74,7.31,3.26,226.35,0.816
Sb,51,5,15,121.8,2.05,1.07,-3,8.60839,16.63,2.06,1.4,903.778,1860.15,0.207,25.23,6.697,19.7,67.97,0.243
Te,52,5,16,127.6,2.1,1.9708,-2,9.0096,18.6,2.06,1.37,722.66,1261.15,0.202,25.73,6.24,17.5,50.63,0.0235
I,53,5,17,126.9,2.66,3.0591,-1,10.45126,19.1313,1.98,1.36,386.85,457.55,0.214,54.43,4.94,7.76,20.9,0.00449
Cs,55,6,1,132.9,0.79,0.47163,1,3.893905,23.15744,3.43,2.38,301.65,944.15,0.242,32.21,1.879,2.09,67.74,0.359
Ba,56,6,2,137.3,0.89,0,2,5.211664,10.00383,2.68,2.06,1000.15,2118.15,0.204,28.07,3.51,8,140.2,0.184
La,57,6,3,138.9,1.1,0.5,3,5.5769,11.059,2.43,1.94,1193.15,3737.15,0.195,27.11,6.146,6.2,399.57,0.135
Hg,80,6,12,200.6,1.9,0,2,10.4375,18.7568,2.23,1.32,234.321,629.769,0.14,27.983,13.534,2.29,59.3,0.0834
