Compound,type,st,a1,a2,a3,n1,n2,n3,Ecoh,BM,bandgap,formula
AX_NaClst_Li_F_None,AX,NaClst,Li,F,None,4,4,0,4.85336,67.75,8.8411,LiF
AX_NaClst_Li_Cl_None,AX,NaClst,Li,Cl,None,4,4,0,3.68734,32.65,6.2596,LiCl
AX_NaClst_Li_Br_None,AX,NaClst,Li,Br,None,4,4,0,3.31461,25.2,4.9159,LiBr
AX_NaClst_Li_I_None,AX,NaClst,Li,I,None,4,4,0,2.91146,18.3,4.2552,LiI
AX_NaClst_Na_F_None,AX,NaClst,Na,F,None,4,4,0,4.37699,54.95,6.3249,NaF
AX_NaClst_Na_Cl_None,AX,NaClst,Na,Cl,None,4,4,0,3.40812,23.9,5.0788,NaCl
AX_NaClst_Na_Br_None,AX,NaClst,Na,Br,None,4,4,0,3.07155,34.8,4.1102,NaBr
AX_NaClst_Na_I_None,AX,NaClst,Na,I,None,4,4,0,2.70337,6.05,3.5998,NaI
AX_NaClst_K_F_None,AX,NaClst,K,F,None,4,4,0,4.21597,26.7,5.9584,KF
AX_NaClst_K_Cl_None,AX,NaClst,K,Cl,None,4,4,0,3.43094,14.9,5.047,KCl
AX_NaClst_K_Br_None,AX,NaClst,K,Br,None,4,4,0,3.13608,5.85,4.31,KBr
AX_NaClst_K_I_None,AX,NaClst,K,I,None,4,4,0,2.80819,5.9,3.8379,KI
AX_NaClst_Rb_F_None,AX,NaClst,Rb,F,None,4,4,0,4.08954,26.7,5.5255,RbF
AX_NaClst_Rb_Cl_None,AX,NaClst,Rb,Cl,None,4,4,0,3.35253,15.6,4.8453,RbCl
AX_NaClst_Rb_Br_None,AX,NaClst,Rb,Br,None,4,4,0,3.07161,7.55,4.161,RbBr
AX_NaClst_Rb_I_None,AX,NaClst,Rb,I,None,4,4,0,2.75905,14.4,3.7579,RbI
AX_NaClst_Cs_F_None,AX,NaClst,Cs,F,None,4,4,0,4.0149,14.85,5.2551,CsF
AX_NaClst_Cs_Cl_None,AX,NaClst,Cs,Cl,None,4,4,0,3.32028,11.7,4.8194,CsCl
AX_NaClst_Cs_I_None,AX,NaClst,Cs,I,None,4,4,0,2.75643,14.05,3.8713,CsI
AX_NaClst_Be_O_None,AX,NaClst,Be,O,None,4,4,0,6.63017,229.5,8.2761,BeO
AX_NaClst_Be_S_None,AX,NaClst,Be,S,None,4,4,0,4.4423,98.4,1.2843,BeS
AX_NaClst_Be_Se_None,AX,NaClst,Be,Se,None,4,4,0,3.87269,88.35,0.385,BeSe
AX_NaClst_Be_Te_None,AX,NaClst,Be,Te,None,4,4,0,3.29652,134.25,0.6799,BeTe
AX_NaClst_Mg_O_None,AX,NaClst,Mg,O,None,4,4,0,5.98282,135,4.5169,MgO
AX_NaClst_Mg_S_None,AX,NaClst,Mg,S,None,4,4,0,4.27022,69.2,2.7388,MgS
AX_NaClst_Mg_Se_None,AX,NaClst,Mg,Se,None,4,4,0,3.75736,78.1,1.7425,MgSe
AX_NaClst_Mg_Te_None,AX,NaClst,Mg,Te,None,4,4,0,3.15401,61,0.4226,MgTe
AX_NaClst_Ca_O_None,AX,NaClst,Ca,O,None,4,4,0,6.43933,107.15,3.6341,CaO
AX_NaClst_Ca_S_None,AX,NaClst,Ca,S,None,4,4,0,5.21926,52.1,2.3783,CaS
AX_NaClst_Ca_Se_None,AX,NaClst,Ca,Se,None,4,4,0,4.77328,43.9,2.0725,CaSe
AX_NaClst_Ca_Te_None,AX,NaClst,Ca,Te,None,4,4,0,4.2226,14.5,1.5638,CaTe
AX_NaClst_Sr_O_None,AX,NaClst,Sr,O,None,4,4,0,6.05225,82.05,3.2761,SrO
AX_NaClst_Sr_S_None,AX,NaClst,Sr,S,None,4,4,0,5.0567,48.85,2.4984,SrS
AX_NaClst_Sr_Se_None,AX,NaClst,Sr,Se,None,4,4,0,4.65533,39.95,2.2322,SrSe
AX_NaClst_Sr_Te_None,AX,NaClst,Sr,Te,None,4,4,0,4.1618,69.3,1.7697,SrTe
AX_NaClst_Ba_O_None,AX,NaClst,Ba,O,None,4,4,0,5.91386,69.75,2.0959,BaO
AX_NaClst_Ba_S_None,AX,NaClst,Ba,S,None,4,4,0,5.1063,47.35,2.1457,BaS
AX_NaClst_Ba_Se_None,AX,NaClst,Ba,Se,None,4,4,0,4.75515,34.25,1.947,BaSe
