name,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
Al2O3,10.0,2.4,14.8,20.392,2.708,1.0530729,10.5651372,28.60408,1.648,0.88,406.0052,1170.9728,0.9096,27.3068,1.9374,4.4132,118.36654,0.94816044
Al2S3,14.8,3.0,14.8,30.034,2.192,1.422672,8.6103132,21.534148,1.816,1.12,606.4052,1547.516,0.7836,23.3,2.256,5.318,122.32,0.949614
Al2Se3,25.6,3.6,14.8,58.168,2.174,1.3884,8.2457412,20.24542,1.876,1.204,669.7592,1691.75,0.5514,24.8978,3.9714,7.52,132.112,0.96024
Al2Te3,36.4,4.2,14.8,87.352,1.904,1.35888,7.8000672,18.69142,1.972,1.318,806.9852,1873.55,0.48,25.118,4.824,14.78,146.698,0.9621
AlAs,23.0,3.5,14.0,50.95,1.895,0.6255,7.887184,18.708875,1.845,1.22,1011.8115,1840.65,0.613,24.42,4.2135,19.2,161.6,1.436
AlBr3,29.5,3.75,16.0,66.67,2.6225,2.634,10.356792,20.9003875,1.8475,1.1875,432.83075,947.0,0.57975,62.8175,3.015,7.025,83.74375,0.593415
AlCl3,16.0,3.0,16.0,33.3325,2.7725,2.823,11.2221645,22.5673375,1.7725,1.06,362.10575,877.37,0.5835,31.51175,3.0855,5.075,80.35,0.59256675
AlF3,10.0,2.25,16.0,20.995,3.3875,2.6595,14.563542,30.9352375,1.5625,0.76,273.47825,761.8175,0.84225,29.528,1.947,2.87,75.15235,0.59270925
AlI3,43.0,4.5,16.0,101.92,2.3975,2.404575,9.334887,19.0556125,1.945,1.33,523.50575,1041.2,0.38475,46.8725,4.38,8.495,88.375,0.5958675
AlN,10.0,2.5,14.0,20.495,2.325,0.1855,10.259934,24.214925,1.695,0.975,498.3115,1434.7525,0.9685,26.662,1.9755,5.53,146.7964,1.1851299
AlP,14.0,3.0,14.0,28.975,1.9,0.59375,8.236229,19.299025,1.82,1.165,625.3865,1672.9,0.833,24.012,2.2615,5.67,151.6,1.186175
AlSb,32.0,4.0,14.0,74.39,1.83,0.7555,7.297079,17.729275,1.95,1.32,918.6255,2326.15,0.552,24.715,4.6985,15.2,179.385,1.3065
Ba3As2,46.8,5.2,7.2,112.348,1.406,0.324,7.0424384,13.437978,2.348,1.716,1036.15,1626.55,0.254,26.698,4.3968,15.88,97.08,0.3112
Ba3N2,36.4,4.4,7.2,87.984,1.75,-0.028,8.9406384,17.842818,2.228,1.52,625.35,1301.832,0.5384,28.4916,2.6064,4.944,85.23712,0.11050392
Ba3P2,39.6,4.8,7.2,94.768,1.41,0.2986,7.3216744,13.910098,2.328,1.672,727.01,1492.35,0.43,26.3716,2.8352,5.056,89.08,0.11134
Ba3Sb2,54.0,5.6,7.2,131.1,1.354,0.428,6.5703544,12.654298,2.432,1.796,961.6012,2014.95,0.2052,26.934,4.7848,12.68,111.308,0.2076
BaAl2O4,16.2857142857,2.85714285714,13.1428571429,36.4657142857,2.55285714286,0.960926571429,10.2364857143,26.8779042857,1.77714285714,1.01428571429,440.648,1151.886,0.81,27.7117142857,2.08942857143,4.32685714286,105.063371429,0.703581371429
BaBr2,42.0,4.66666666667,12.0,99.0333333333,2.27,2.24333333333,9.613088,17.72861,2.12666666667,1.46666666667,510.683333333,927.35,0.384,59.8166666667,3.25,6.53333333333,56.55,0.0621466666667
BaCl2,30.0,4.0,12.0,69.4,2.40333333333,2.41133333333,10.382308,19.2103433333,2.06,1.35333333333,447.816666667,865.456666667,0.387333333333,31.9893333333,3.31266666667,4.8,53.5333333333,0.0613926666667
BaF2,24.6666666667,3.33333333333,12.0,58.4333333333,2.95,2.266,13.3524213333,26.6484766667,1.87333333333,1.08666666667,369.036666667,762.743333333,0.617333333333,30.226,2.30066666667,2.84,48.9132,0.0615193333333
BaI2,54.0,5.33333333333,12.0,130.366666667,2.07,2.0394,8.704728,16.08881,2.21333333333,1.59333333333,591.283333333,1011.08333333,0.210666666667,45.6433333333,4.46333333333,7.84,60.6666666667,0.0643266666667
BaIn2O4,26.5714285714,3.42857142857,13.1428571429,61.5571428571,2.60142857143,0.920640857143,10.179512,26.8898328571,1.80285714286,1.06571428571,296.727142857,1011.31457143,0.620285714286,28.4374285714,3.40657142857,2.20114285714,86.6490857143,0.259581371429
BaLa2O4,28.8571428571,3.71428571429,10.2857142857,68.4428571429,2.40714285714,0.977783714286,10.1196662857,24.6580328571,1.94571428571,1.21428571429,514.841428571,1421.886,0.609428571429,28.5431428571,3.074,3.04114285714,136.140514286,0.0650099428571
BaO,32.0,4.0,9.0,76.65,2.165,0.73056075,9.414857,22.562465,2.1,1.35,527.255,1104.169,0.561,28.724,2.4695,4.111,71.80545,0.0921337
BaS,36.0,4.5,9.0,84.685,1.735,1.03856,7.785837,16.670855,2.24,1.55,694.255,1417.955,0.456,25.385,2.735,4.865,75.1,0.093345
BaSc2O4,18.5714285714,3.14285714286,10.2857142857,41.6028571429,2.48142857143,0.888640857143,10.4009777143,25.1553957143,1.86571428571,1.11428571429,692.27,1242.45742857,0.716,28.0888571429,2.17085714286,5.84114285714,109.063371429,0.0715813714286
BaSe,45.0,5.0,9.0,108.13,1.72,1.01,7.482027,15.596915,2.29,1.62,747.05,1538.15,0.2625,26.7165,4.1645,6.7,83.26,0.1022
BaTe,54.0,5.5,9.0,132.45,1.495,0.9854,7.110632,14.301915,2.37,1.715,861.405,1689.65,0.203,26.9,4.875,12.75,95.415,0.10375
BaY2O4,23.7142857143,3.42857142857,10.2857142857,54.16,2.44142857143,0.922640857143,10.3026377143,24.99089,1.91428571429,1.16285714286,686.841428571,1387.886,0.638857142857,28.3774285714,2.59571428571,4.52685714286,125.777657143,0.0755813714286
Be3N2,5.2,2.0,7.2,11.0112,2.158,-0.028,11.40726,22.767204,1.538,0.878,961.35,1675.632,1.511,21.5154,1.6092,4.914,179.31712,1.20610392
Be3P2,8.4,2.4,7.2,17.7952,1.818,0.2986,9.788296,18.834484,1.638,1.03,1063.01,1866.15,1.4026,19.3954,1.838,5.026,183.16,1.20694
BeAl2O4,8.85714285714,2.28571428571,13.1428571429,18.1388571429,2.65,0.960926571429,10.8237765714,28.0503771429,1.61285714286,0.861428571429,520.648,1240.886,1.04157142857,26.0507142857,1.852,4.31971428571,127.463371429,0.964438514286
BeBr2,24.6666666667,3.33333333333,12.0,56.2706666667,2.49666666667,2.24333333333,10.9834333333,20.46438,1.74333333333,1.11,697.35,1135.01666667,0.924333333333,55.941,2.696,6.51666666667,108.816666667,0.670813333333
BeCl2,12.6666666667,2.66666666667,12.0,26.6373333333,2.63,2.41133333333,11.7526533333,21.9461133333,1.67666666667,0.996666666667,634.483333333,1073.12333333,0.927666666667,28.1136666667,2.75866666667,4.78333333333,105.8,0.670059333333
BeF2,7.33333333333,2.0,12.0,15.6706666667,3.17666666667,2.266,14.7227666667,29.3842466667,1.49,0.73,555.703333333,970.41,1.15766666667,26.3503333333,1.74666666667,2.82333333333,101.179866667,0.670186
BeI2,36.6666666667,4.0,12.0,87.604,2.29666666667,2.0394,10.0750733333,18.82458,1.83,1.23666666667,777.95,1218.75,0.751,41.7676666667,3.90933333333,7.82333333333,112.933333333,0.672993333333
BeO,6.0,2.0,9.0,12.506,2.505,0.73056075,11.470375,26.66612,1.525,0.815,807.255,1415.669,1.3715,22.9105,1.6385,4.086,150.20545,1.0051337
BeS,10.0,2.5,9.0,20.541,2.075,1.03856,9.841355,20.77451,1.665,1.015,974.255,1729.455,1.2665,19.5715,1.904,4.84,153.5,1.006345
BeSe,19.0,3.0,9.0,43.986,2.06,1.01,9.537545,19.70057,1.715,1.085,1027.05,1849.65,1.073,20.903,3.3335,6.675,161.66,1.0152
BeTe,28.0,3.5,9.0,68.306,1.835,0.9854,9.16615,18.40557,1.795,1.18,1141.405,2001.15,1.0135,21.0865,4.044,12.725,173.815,1.01675
Ca3N2,14.8,3.2,7.2,29.652,1.816,-0.028,9.481536,18.963552,2.006,1.328,694.35,1085.232,0.8042,27.207,1.4304,5.268,93.91912,1.20610392
Ca3P2,18.0,3.6,7.2,36.436,1.476,0.2986,7.862572,15.030832,2.106,1.48,796.01,1275.75,0.6958,25.087,1.6592,5.38,97.762,1.20694
Ca3Sb2,32.4,4.4,7.2,72.768,1.42,0.428,7.111252,13.775032,2.21,1.604,1030.6012,1798.35,0.471,25.6494,3.6088,13.004,119.99,1.3032
