,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity,energy,energy_per_atom,volume
Al2O3,-1.38023618927,-1.57632350582,1.31016418877,-1.35185407112,1.12875410408,-0.292906987492,0.532866776789,0.487321031466,-1.40181963595,-1.67013647625,-0.539953058077,0.146755689088,0.485172012465,-0.410863135014,-0.942132179039,-0.445343419016,0.729737398561,1.28441707405,-2.9099021849,-2.02772620567,0.282103940836
Al2S3,-0.998370034201,-0.856596924599,1.31016418877,-1.04353781693,0.148700474433,0.158257845265,-0.412703276145,-0.370283951001,-0.72910929757,-0.70890813884,0.228503000743,0.938670074152,0.209943869525,-0.822297561188,-0.740444837021,-0.224852023316,0.823464940609,1.28854235961,-0.970689419841,-0.194540302062,1.80067324119
Al2Se3,-0.139171185302,-0.136870343379,1.31016418877,-0.143914347173,0.11451255712,0.116422458901,-0.589050796606,-0.526610709708,-0.488855605293,-0.372478220746,0.471440950596,1.24201104383,-0.297262279608,-0.658228996213,0.345476275649,0.311755020598,1.05561098274,1.31869954912,0.10104533038,-0.161973302156,-0.0529756256462
Al2Te3,0.720027663596,0.582856237841,1.31016418877,0.789284321388,-0.398306202581,0.0803877773689,-0.804628254102,-0.715115796144,-0.104449697649,0.0841052395243,0.997649289557,1.62435770473,-0.453224893941,-0.635617969797,0.88520831521,2.08094990653,1.40141185801,1.3239783344,-1.19356751585,0.209337855529,3.36995271638
AlAs,-0.34601535263,-0.256824773582,1.05581013647,-0.374719856687,-0.415400161237,-0.814839686787,-0.762488891588,-0.712998449758,-0.612986679636,-0.308396331585,1.78307848736,1.55516515719,-0.162706298615,-0.707291432279,0.498735866052,3.15806304644,1.75470437433,2.66893336034,0.52283741194,-0.146487381607,-0.687543230238
AlBr3,0.171095065689,0.0430613019258,1.69169526724,0.127948834026,0.966361496844,1.63691024061,0.432087892453,-0.447161092463,-0.602976109124,-0.438562668943,-0.437087507036,-0.324285302179,-0.235335947446,3.23551913451,-0.259965575906,0.191128096558,-0.091090181724,0.277629434346,0.00437751264317,0.552387837294,1.10435234839
AlCl3,-0.902903495434,-0.856596924599,1.69169526724,-0.938063728102,1.25126080779,1.86762009188,0.850678169958,-0.244954815864,-0.903293224471,-0.949215223192,-0.7082903751,-0.470725335174,-0.227144633668,0.0209181344132,-0.21533607932,-0.284068876935,-0.171548273073,0.275222052829,0.264053340355,0.214111922279,-0.226159822126
AlF3,-1.38023618927,-1.75625515112,1.69169526724,-1.33257231409,2.41934798266,1.66803776023,2.46693953136,0.770097766364,-1.74418114744,-2.15075064496,-1.04814236788,-0.713745756151,0.338056017013,-0.182781337216,-0.936054970993,-0.821406993116,-0.294772729354,0.275626475896,0.101611446752,-0.844518800402,-0.569580370394
AlI3,1.24509362681,0.942719528451,1.69169526724,1.25511622255,0.539012530427,1.3568541156,-0.062218891658,-0.670938100718,-0.212563859174,0.132166656395,-0.089384148086,-0.126171685805,-0.661284263901,1.59822205821,0.604137443096,0.549353507345,0.0187062191782,0.284589768174,0.105421928022,0.8816401013,1.60658711581
AlN,-1.38023618927,-1.45636907562,1.05581013647,-1.34856050399,0.401311196804,-1.35194198604,0.385236603443,-0.0450972714001,-1.21362091033,-1.28965025936,-0.185994298086,0.701515246339,0.613830247538,-0.477073806372,-0.918013259608,-0.17318958312,1.40374469814,1.9569498156,0.273994378559,-2.02517121189,-0.67322845109
AlP,-1.06201439338,-0.856596924599,1.05581013647,-1.07740080315,-0.405903517539,-0.853596500426,-0.593651953262,-0.641411399076,-0.713092384751,-0.528677825575,0.301288903883,1.20236728939,0.31785077636,-0.749186522096,-0.736963103245,-0.139072877331,1.51762712542,1.95991586856,0.50432878714,-0.628968800993,-0.675421396008
AlSb,0.369983688119,0.342947377434,1.05581013647,0.374806486208,-0.538856529313,-0.656150371097,-1.0479292259,-0.831827010036,-0.192542718151,0.0921154756694,1.42574642001,2.57622843479,-0.295951669403,-0.676999639396,0.805761480863,2.18330002389,2.17634626152,2.30140502977,0.441989984465,0.16447710778,-0.518556179087
Ba3As2,1.54740433291,1.78240053987,-1.10619930814,1.58856591128,-1.34417191492,-1.18287683048,-1.17110170876,-1.3523748298,1.40114010729,1.6781422324,1.87640716894,1.10488781891,-0.94688807096,-0.4733771808,0.614772557176,2.34900973773,0.225081964356,-0.523312710927,0.409893077254,0.313495028599,-0.12215018782
Ba3N2,0.720027663596,0.822765098247,-1.10619930814,0.809493393432,-0.690802828484,-1.61255866989,-0.252921312731,-0.818053887109,0.920632722733,0.893139090178,0.301148940579,0.421967890233,-0.325658834038,-0.289203080075,-0.518626743352,-0.315992365924,-0.0556857766033,-1.09289954672,0.376472794887,-0.0349839199221,-0.354363435929
Ba3P2,0.974605100307,1.30258281906,-1.10619930814,1.02642115411,-1.33657459996,-1.21388228139,-1.03603215809,-1.29510518925,1.32105554319,1.5019170372,0.690975502155,0.822649524673,-0.56244241098,-0.506893252654,-0.373786618263,-0.288699001293,0.0354201652265,-1.09052670435,0.398684236434,0.196618545619,-0.165184263243
Ba3Sb2,2.1202035655,2.26221826069,-1.10619930814,2.18818698559,-1.44293700938,-1.05592537793,-1.39945397621,-1.44743767802,1.73749527647,1.9985516782,1.59054151506,1.92173844099,-1.05348436759,-0.449143746494,0.860393049024,1.56919931969,0.562395474107,-0.817335375386,0.425355374433,0.474723021929,-0.011186213314
BaAl2O4,-0.880173367158,-1.02796039632,0.783287937581,-0.837874878056,0.834086816768,-0.405388816909,0.373894407547,0.277930489492,-0.884702164961,-1.13230633506,-0.407111393634,0.106613916551,0.267610718522,-0.369284898819,-0.845891631385,-0.466384375117,0.414349537899,0.590287832621,-4.17494865785,-1.88814034691,1.6579774767
