name,energy,energy_per_atom,volume
Al2O3,-297.96185758,-7.4490464395,378.819910016
Al2O3,-148.09380008,-7.404690004,217.406330837
Al2O3,-595.83688335,-7.44796104187,757.854164761
Al2O3,-72.02730624,-7.202730624,84.3124459774
Al2O3,-74.71816917,-7.471816917,96.4748366199
Al2O3,-147.7586627,-7.387933135,171.320771466
Al2O3,-147.84874414,-7.392437207,194.963262519
Al2O3,-221.73488026,-7.39116267533,279.726324825
Al2O3,-294.22334399,-7.35558359975,388.934680987
Al2O3,-67.91752989,-6.791752989,122.705086246
Al2O3,-74.28397745,-7.428397745,114.117670552
Al2O3,-185.06018852,-7.4024075408,250.875504732
Al2O3,-74.81297524,-7.481297524,87.4200077443
Al2O3,-292.79719655,-7.31992991375,389.507260595
Al2O3,-593.94004839,-7.42425060488,761.677807461
Al2O3,-298.06238187,-7.45155954675,361.657033561
Al2O3,-148.18267342,-7.409133671,184.821308951
Al2O3,-297.3398654,-7.433496635,346.377384438
Al2O3,-36.95084953,-7.390169906,46.5361546334
Al2O3,-74.15711225,-7.415711225,92.0170420975
Al2O3,-298.57563624,-7.464390906,370.292718866
Al2O3,-214.42304694,-7.147434898,498.398174824
Al2O3,-109.06713408,-7.271142272,313.188857464
Al2O3,-294.80741946,-7.3701854865,379.058493016
Al2O3,-74.3559985,-7.43559985,133.908532229
Al2O3,-291.11857304,-7.277964326,412.46695047
Al2S3,-134.6203976,-4.48734658667,913.381140314
Al2S3,-587.6302956,-4.89691913,2266.24007355
Al2S3,-136.0067017,-4.53355672333,943.281539381
Al2S3,-201.26771268,-5.031692817,757.62362714
Al2S3,-151.07768794,-5.03592293133,653.931750813
Al2Se3,-44.34731258,-4.434731258,260.866422306
Al2Se3,-176.43733481,-4.41093337025,902.543377156
Al2Te3,-153.39359993,-3.83483999825,1465.79318153
AlAs,-8.81942433,-4.409712165,37.488246981
AlAs,-8.12706622,-4.06353311,39.6847679613
AlAs,-72.59579423,-4.53723713937,346.322575137
AlAs,-18.72300339,-4.6807508475,94.2439490389
AlAs,-9.37404722,-4.68702361,47.1256605779
AlAs,-17.75877003,-4.4396925075,74.3815389571
AlBr3,-52.48972107,-3.28060756688,668.264797549
AlCl3,-30.61701603,-3.82712700375,199.902752675
AlCl3,-11.66892707,-2.9172317675,82.2623913123
AlF3,-44.29962814,-5.5374535175,79.0131029576
AlF3,-141.39883147,-5.89161797792,308.352326061
AlF3,-23.56961141,-5.8924028525,48.2217667496
AlF3,-47.14404392,-5.89300549,92.3102117423
AlF3,-376.27016823,-5.87922137859,775.877837017
AlF3,-235.51515398,-5.8878788495,492.44430545
AlI3,-43.97866822,-2.74866676375,845.059649854
AlN,-29.77967434,-7.444918585,42.5272833628
AlN,-14.54578852,-7.27289426,16.8428227385
AlN,-14.8471735,-7.42358675,21.3169782775
AlN,-29.31835128,-7.32958782,39.7834871756
AlP,-10.37842077,-5.189210385,41.7553308856
AlP,-20.73996901,-5.1849922525,83.4378225866
AlP,-36.16980244,-4.521225305,728.535086806
AlSb,-15.62926855,-3.9073171375,96.9744528108
AlSb,-16.36618583,-4.0915464575,121.082168986
AlSb,-63.78211917,-3.98638244813,441.168633074
AlSb,-8.19939072,-4.09969536,60.5606242212
Ba3As2,-18.33281701,-3.666563402,236.515845054
Ba3N2,-21.14783443,-4.229566886,154.772983815
Ba3P2,-19.27694674,-3.855389348,221.367146672
Ba3P2,-172.08803607,-4.30220090175,1455.55846757
Ba3Sb2,-17.03041521,-3.406083042,275.576978923
