name,energy,energy_per_atom,volume
Al2O3,-297.96185758,-7.4490464395,378.819910016
Al2S3,-134.6203976,-4.48734658667,913.381140314
Al2Se3,-44.34731258,-4.434731258,260.866422306
Al2Te3,-153.39359993,-3.83483999825,1465.79318153
AlAs,-8.81942433,-4.409712165,37.488246981
AlBr3,-52.48972107,-3.28060756688,668.264797549
AlCl3,-30.61701603,-3.82712700375,199.902752675
AlF3,-44.29962814,-5.5374535175,79.0131029576
AlI3,-43.97866822,-2.74866676375,845.059649854
AlN,-29.77967434,-7.444918585,42.5272833628
AlP,-10.37842077,-5.189210385,41.7553308856
AlSb,-15.62926855,-3.9073171375,96.9744528108
Ba3As2,-18.33281701,-3.666563402,236.515845054
Ba3N2,-21.14783443,-4.229566886,154.772983815
Ba3P2,-19.27694674,-3.855389348,221.367146672
Ba3Sb2,-17.03041521,-3.406083042,275.576978923
BaAl2O4,-404.51774539,-7.22353116768,863.149897388
Ba(AlS2)2,-434.71663718,-5.17519806167,2095.58332674
Ba(AlTe2)2,-28.22335725,-4.03190817857,254.609962305
BaBr2,-47.46766384,-3.95563865333,430.362224136
BaCl2,-52.88286754,-4.40690562833,369.711833113
BaF2,-68.75284812,-5.72940401,224.868548894
Ba(GaO2)2,-1039.22746816,-6.18587778667,2714.61095989
Ba(GaS2)2,-392.79660041,-4.67615000488,2116.98932952
Ba(GaSe2)2,-59.20653482,-4.22903820143,425.881439368
Ba(GaTe2)2,-26.04310287,-3.72044326714,254.206637889
BaI2,-41.44369353,-3.4536411275,530.267752261
BaIn2O4,-644.24922302,-5.75222520554,1730.07561209
Ba(InS2)2,-252.18511052,-4.503305545,1639.76127918
Ba(InSe2)2,-229.20154241,-4.09288468589,1850.41402746
Ba(InTe2)2,-25.35278786,-3.62182683714,273.966022711
BaLa2O4,-107.23799067,-7.65985647643,263.804361976
Ba(LaS2)2,-86.73303724,-6.19521694571,360.452271462
Ba(LaSe2)2,-80.038642,-5.71704585714,404.632735894
BaO,-11.82714503,-5.913572515,44.254983846
BaS,-10.21249155,-5.106245775,67.3095961043
BaSc2O4,-344.71930133,-8.20760241262,605.013704634
Ba(ScTe2)2,-147.88900686,-5.281750245,914.399592619
BaSe,-9.10933223,-4.554666115,64.7006698506
BaTe,-8.64734519,-4.323672595,89.0910945564
BaY2O4,-229.96752171,-8.21312577536,449.546010758
Ba(YS2)2,-185.52365535,-6.62584483393,731.369912784
Ba(YTe2)2,-153.36467768,-5.47730991714,1014.93642496
Be3N2,-266.07375245,-6.65184381125,270.583054287
Be3P2,-185.64695064,-4.641173766,529.504952716
BeAl2O4,-206.97770837,-7.39206101321,234.291119206
BeBr2,-20.28144597,-3.380240995,203.457383375
BeCl2,-23.43551118,-3.90591853,160.049399936
BeF2,-271.05058227,-5.64688713063,553.67740981
Be(GaO2)2,-266.36066164,-6.34192051524,478.895370188
BeI2,-17.02908178,-2.83818029667,243.256985032
BeO,-14.19192116,-7.09596058,13.9805480869
BeS,-9.98932245,-4.994661225,28.955804657
BeSe,-8.82045458,-4.41022729,34.8236764116
BeTe,-7.60037396,-3.80018698,45.5055119387
Y2BeO4,-238.2744111,-8.50980039643,374.23600809
Ca3N2,-26.16851958,-5.233703916,89.1965784444
Ca3P2,-20.47662678,-4.095325356,149.721291
Ca3Sb2,-17.25649535,-3.45129907,193.100552
CaAl2O4,-201.24141622,-7.18719343643,271.685034069
Ca(AlS2)2,-287.22346677,-5.12899047804,1244.9483888
Ca(AlSe2)2,-63.77067074,-4.55504791,362.405094332
CaBr2,-22.83643818,-3.80607303,205.721219526
CaCl2,-25.7697503,-4.29495838333,175.099452007
CaF2,-69.68277018,-5.806897515,155.108992796
Ca(GaO2)2,-348.40081501,-6.22144312518,757.221165236
Ca(GaS2)2,-259.35862965,-4.63140410089,1263.85603656
Ca(GaSe2)2,-232.4192547,-4.15034383393,1461.9477689
CaI2,-9.97760348,-3.32586782667,144.157637069
CaIn2O4,-82.65412857,-5.90386632643,206.959129573
Ca(InTe2)2,-24.44598922,-3.49228417429,244.343723439
Ca(LaS2)2,-87.19360795,-6.22811485357,328.557139287
Ca(LaTe2)2,-71.36596749,-5.09756910643,453.413399189
CaO,-25.49662752,-6.37415688,67.0068355779
CaS,-10.43881148,-5.21940574,46.6951298652
CaSc2O4,-232.79397638,-8.314070585,337.392667004
Ca(ScS2)2,-180.21334471,-6.4361908825,586.07872959
CaSe,-9.02959786,-4.51479893,71.874
CaTe,-7.82904677,-3.914523385,60.5156280752
CaY2O4,-116.33383184,-8.30955941714,227.156917432
Ca(YS2)2,-184.70619313,-6.59664975464,671.466979077
Cd3As2,-23.4928717,-2.34928717,272.075810618
Cd3N2,-133.09902523,-3.32747563075,666.722579017
Cd3P2,-25.74745774,-2.574745774,246.040060211
Al2CdO4,-90.48575042,-6.46326788714,152.377307906
Al2CdS4,-63.17283786,-4.51234556143,279.164646257
Al2CdSe4,-28.06846849,-4.00978121286,188.090208458
Al2CdTe4,-24.23285052,-3.46183578857,236.556019326
CdBr2,-13.67779001,-2.27963166833,194.653621677
CdCl2,-7.63851048,-2.54617016,88.1458506871
CdF2,-11.26375289,-3.75458429667,41.4251716365
Cd(GaO2)2,-457.29476106,-5.44398525071,1006.08384881
Cd(GaS2)2,-28.30555782,-4.04365111714,165.252793351
Cd(GaSe2)2,-25.29924638,-3.61417805429,189.718560318
Cd(GaTe2)2,-22.2061507,-3.17230724286,236.359799687
CdI2,-143.12883651,-1.9083844868,2997.21622576
CdIn2O4,-72.8488727,-5.20349090714,203.086477267
Cd(InS2)2,-54.20459439,-3.87175674214,335.372323374
Cd(InSe2)2,-24.37805216,-3.48257888,212.493136105
Cd(InTe2)2,-21.62944865,-3.08992123571,261.197814024
La2CdS4,-77.87854035,-5.56275288214,332.514539545
La2CdSe4,-71.07435254,-5.07673946714,375.177307246
La2CdTe4,-62.98361141,-4.49882938643,455.322926855
CdO,-7.91277482,-3.95638741,27.3673079378
CdS,-5.81821037,-2.909105185,92.8907254697
Sc2CdS4,-82.05381409,-5.86098672071,317.778360093
CdSe,-5.65901296,-2.82950648,59.9527961018
CdTe,-4.01756129,-2.008780645,60.8732121506
Y2CdS4,-84.15117699,-6.01079835643,362.065004086
Cs3As,-49.6283372,-2.06784738333,1207.14356261
Cs3Sb,-8.03334578,-2.008336445,204.4000726
CsBeF3,-22.69417263,-4.538834526,65.7114141429
CsBr,-6.0233623,-3.01168115,84.7791876313
CsCaBr3,-17.74246446,-3.548492892,192.360662395
CsCaF3,-25.86332587,-5.172665174,96.2901008451
CsCaI3,-62.1923139,-3.109615695,932.398587439
CsCdBr3,-26.22740029,-2.622740029,371.815787874
CsCdCl3,-14.68795218,-2.937590436,151.405997147
CsCdF3,-19.70974251,-3.941948502,95.0060559372
CsCl,-6.54430625,-3.272153125,74.5682292379
CsF,-7.81054676,-3.90527338,50.7408016663
CsHgBr3,-11.05886109,-2.211772218,184.706553168
CsHgCl3,-23.52493773,-2.352493773,365.328300103
CsHgF3,-16.80451714,-3.360903428,102.189179811
CsI,-5.51134306,-2.75567153,121.358802697
CsMgBr3,-31.42535277,-3.142535277,350.718457938
CsMgCl3,-35.61896068,-3.561896068,298.388416439
CsMgF3,-23.973048,-4.7946096,76.8907240471
CsMgI3,-26.86642705,-2.686642705,432.772273537
CsSrBr3,-17.53770859,-3.507541718,220.23312158
CsSrCl3,-39.16948907,-3.916948907,368.939936127
CsSrF3,-25.29870598,-5.059741196,112.899279314
CsSrI3,-15.32131266,-3.064262532,270.811703829
Ga2O3,-232.670462,-5.81676155,453.647299388
Ga2S3,-43.52845289,-4.352845289,227.726758861
Ga2Se3,-34.56478181,-3.456478181,382.510109731
Ga2Te3,-32.87292528,-3.287292528,433.439944939
GaAs,-7.55474902,-3.77737451,40.2764114792
GaBr3,-45.10587112,-2.819116945,665.057932808
GaCl3,-25.96415149,-3.24551893625,285.157620238
GaF3,-38.17649338,-4.7720616725,99.2059783274
GaI3,-38.35212627,-2.39700789187,820.764825417
GaN,-12.30447176,-6.15223588,23.4804762501
GaP,-18.47901241,-4.6197531025,83.3948059468
GaSb,-7.08156796,-3.54078398,48.1680113104
Al2HgO4,-85.27871096,-6.09133649714,157.014939784
Al2HgS4,-30.07480473,-4.29640067571,163.742533893
Al2HgSe4,-26.60005516,-3.80000788,188.885449148
Al2HgTe4,-23.03498148,-3.29071164,236.478202208
HgBr2,-14.6122277,-1.62358085556,305.121043684
HgCl2,-23.16454792,-1.93037899333,391.783482782
HgF2,-16.59232036,-2.76538672667,105.343728591
Ga2HgO4,-142.25064894,-5.08038031929,365.557089362
Ga2HgS4,-26.67598793,-3.81085541857,165.964361377
Ga2HgSe4,-23.85922284,-3.40846040571,190.579907814
Ga2HgTe4,-83.02842039,-2.96530072821,942.939409898
HgI2,-68.62366349,-1.42965965604,2274.39940775
In2HgO4,-68.14173345,-4.867266675,209.419501245
In2HgS4,-50.98975603,-3.64212543071,337.88766819
In2HgSe4,-22.97754702,-3.28250671714,213.493095373
In2HgTe4,-20.44550349,-2.92078621286,261.562757546
La2HgO4,-96.55115358,-6.89651097,253.113609958
HgO,-46.63371272,-2.914607045,291.283194796
HgS,-13.06216158,-2.17702693,134.147682151
HgSe,-3.89206788,-1.94603394,49.0110733478
HgTe,-6.89298162,-1.723245405,120.310023264
Y2HgO4,-101.61722294,-7.25837306714,229.487998255
In2O3,-56.26666199,-5.626666199,132.807361908
In2S3,-79.07645644,-3.953822822,661.752832332
In2Se3,-18.32885646,-3.665771292,136.888893579
In2Te3,-146.28513704,-3.25078082311,1707.83013775
InAs,-7.87547883,-3.937739415,59.049598691
InBr3,-22.04148293,-2.75518536625,281.943198886
InCl3,-24.43407779,-3.05425972375,276.673163174
InF3,-36.86829783,-4.60853722875,128.367438234
InI3,-37.24211737,-2.32763233563,844.908778738
InN,-21.76891237,-5.4422280925,64.4149225282
InP,-8.09426909,-4.047134545,42.6779401754
InSb,-41.19376839,-3.4328140325,348.087528929
K3As,-18.56237321,-2.32029665125,309.068734259
K3N,-19.43799432,-2.42974929,374.761917932
K3P,-19.15110866,-2.3938885825,289.489091501
K3Sb,-18.15741532,-2.269676915,353.715056805
KBaP,-9.18418518,-3.06139506,99.8625320913
KBr,-6.12455737,-3.062278685,66.1107167194
KCaBr3,-17.51931725,-3.50386345,187.131192424
KCaCl3,-19.64555073,-3.929110146,158.084792545
KCaF3,-25.96956314,-5.193912628,90.0193571777
KCdAs,-15.91831796,-2.65305299333,171.725580939
KCdCl3,-59.36117685,-2.9680588425,546.825747935
KCdF3,-79.79994309,-3.9899971545,342.483019281
KCdSb,-14.71549177,-2.45258196167,197.964026579
KCl,-6.86146221,-3.430731105,65.391408571
KF,-8.4316262,-4.2158131,39.8928738822
KHgAs,-14.27148486,-2.37858081,189.710533416
KHgF3,-67.1380671,-3.356903355,389.634915604
KHgSb,-13.26953873,-2.21158978833,218.142250275
KI,-5.6163605,-2.80818025,92.7432973746
KMgAs,-18.8375673,-3.13959455,164.656826732
KMgCl3,-70.90845399,-3.5454226995,499.325305651
KMgF3,-24.79780034,-4.959560068,66.5998285079
KMgP,-20.12990484,-3.35498414,153.047392555
KMgSb,-17.20021341,-2.866702235,196.168421492
KZnAs,-16.9198204,-2.81997006667,164.528154767
KZnF3,-20.80617398,-4.161234796,70.5258535717
KZnP,-18.31606343,-3.05267723833,150.288759703
KZnSb,-7.68399484,-2.56133161333,98.4395674811
La2O3,-37.5789937,-7.51579874,95.5943929495
La2S3,-265.37420158,-6.6343550395,1005.25117698
La2Se3,-244.2001543,-6.1050038575,1129.10835578
La2Te3,-218.72571586,-5.4681428965,1361.15927471
LaAs,-12.7282936,-6.3641468,59.4783685489
LaBr3,-35.8713055,-4.4839131875,258.099685826
LaCl3,-40.2139994,-5.026749925,219.035859253
LaF3,-26.56473111,-6.6411827775,50.2607942106
LaI3,-31.38717192,-3.92339649,353.032433868
LaN,-31.82601386,-7.956503465,88.1625527586
LaP,-13.49189604,-6.74594802,55.3862340022
LaSb,-11.15564752,-5.57782376,60.9401010459
Li3As,-26.46606881,-3.30825860125,129.522350218
Li3N,-30.96061068,-3.870076335,69.8615237651
Li3P,-27.84784581,-3.48098072625,117.638804377
Li3Sb,-24.7439786,-3.092997325,159.010093218
BaLiAs,-11.31732487,-3.77244162333,83.0265559849
BaLiF3,-26.89029715,-5.37805943,66.5618144299
BaLiP,-11.87125472,-3.95708490667,77.059930082
BaLiSb,-21.58517653,-3.59752942167,194.627046201
LiBeAs,-23.51561498,-3.91926916333,87.2878527337
LiBeN,-66.41975051,-5.53497920917,103.18473298
LiBeP,-25.6125589,-4.26875981667,78.1297947218
LiBeSb,-21.02219011,-3.50369835167,102.232250244
LiBr,-6.63267599,-3.316337995,41.8991208616
LiCaAs,-11.48442623,-3.82814207667,74.5758819664
LiCaF3,-26.33002352,-5.266004704,53.2101638939
LiCaN,-56.77383543,-4.7311529525,173.55105482
LiCaSb,-43.48633029,-3.6238608575,298.022564586
LiCdAs,-8.92490682,-2.97496894,64.1528642566
LiCdP,-8.6114173,-2.87047243333,52.8750200577
LiCl,-7.37638453,-3.688192265,34.2023967267
LiF,-9.69028318,-4.84514159,17.0221540487
LiI,-11.65201297,-2.9130032425,108.910200252
LiMgAs,-10.40323517,-3.46774505667,59.9678425179
LiMgN,-55.0273711,-4.58561425833,127.569263204
LiMgP,-10.19045743,-3.39681914333,54.6091561652
SrLiN,-26.83820635,-4.47303439167,110.224655064
SrLiP,-11.70492558,-3.90164186,68.0403361475
SrLiSb,-42.38421425,-3.53201785417,333.445005167
LiZnAs,-9.39868952,-3.13289650667,53.4209297795
LiZnN,-12.300766,-4.10025533333,30.0596171971
LiZnP,-9.84209445,-3.28069815,47.074940508
LiZnSb,-16.81027428,-2.80171238,124.956339482
Mg3As2,-32.84483436,-3.284483436,240.589600389
Mg3N2,-201.83784937,-5.04594623425,503.681721149
Mg3P2,-151.68861416,-3.792215354,879.060187515
Mg3Sb2,-14.88363827,-2.976727654,133.474208969
MgAl2O4,-693.52715672,-7.07680772163,953.574406212
Mg(AlS2)2,-33.76754367,-4.82393481,154.933551365
Mg(AlSe2)2,-29.75729645,-4.25104235,182.841158349
MgBr2,-9.39603983,-3.13201327667,91.8275355529
MgCl2,-20.53112473,-3.42185412167,158.800172175
MgF2,-31.30742658,-5.21790443,108.475695531
Mg(GaO2)2,-509.11579651,-6.0609023394,887.683626181
Mg(GaS2)2,-182.88743512,-4.35446274095,903.346339262
MgI2,-7.8306205,-2.61020683333,118.643102617
MgIn2O4,-80.17040851,-5.72645775071,182.588292717
Mg(InS2)2,-58.54618971,-4.18187069357,323.400517462
Mg(InSe2)2,-105.16303557,-3.75582269893,801.547019433
Mg(InTe2)2,-23.03636091,-3.29090870143,255.617914954
La2MgO4,-53.38882027,-7.62697432429,97.0011249988
MgO,-11.96804153,-5.984020765,19.2793673195
MgS,-8.58883643,-4.294418215,35.7434909412
Mg(ScS2)2,-86.56919714,-6.18351408143,306.39595519
Mg(ScSe2)2,-78.52165847,-5.60868989071,353.622207243
MgSe,-7.5924656,-3.7962328,54.0138265644
MgTe,-12.99041779,-3.2476044475,138.261815509
Y2MgS4,-88.56115473,-6.32579676643,349.897190173
Y2MgSe4,-80.86936037,-5.77638288357,400.809604722
Na3As,-10.10468906,-2.526172265,92.3171062792
Na3N,-10.4069769,-2.601744225,62.115217909
Na3P,-21.41949779,-2.67743722375,189.475037416
Na3Sb,-19.63321413,-2.45415176625,239.286229161
BaNaP,-32.90170156,-3.65574461778,260.890892627
BaNaSb,-9.28031315,-3.09343771667,107.699898046
NaBeAs,-21.77689608,-3.62948268,114.941042629
NaBeSb,-19.38127142,-3.23021190333,141.256108103
NaBr,-6.11482283,-3.057411415,54.748518817
NaCaAs,-10.55778637,-3.51926212333,84.5834076857
NaCdAs,-32.1877422,-2.68231185,282.723809308
NaCdF3,-39.92142317,-3.992142317,151.196343757
NaCdSb,-29.44286756,-2.45357229667,334.217377364
NaCl,-6.77629517,-3.388147585,46.0961377582
NaF,-8.64893631,-4.324468155,25.8936106188
NaHgCl3,-49.17212086,-2.458606043,576.926625899
NaI,-5.38684399,-2.693421995,69.6750961162
NaMgAs,-18.97681324,-3.16280220667,140.818504956
NaMgF3,-49.19447823,-4.919447823,114.855283767
NaMgP,-7.99196128,-2.66398709333,63.3272166166
NaMgSb,-17.16948033,-2.861580055,167.535360245
NaSrAs,-30.84934236,-3.42770470667,248.961651828
NaSrP,-32.44574576,-3.60508286222,231.363818071
NaZnAs,-8.11610837,-2.70536945667,64.1577741475
NaZnF3,-83.0993129,-4.154965645,246.256165625
NaZnP,-18.43410724,-3.07235120667,114.7570299
NaZnSb,-15.26031663,-2.543386105,150.37547529
Rb3As,-17.20402278,-2.1505028475,360.5397902
Rb3P,-8.60136165,-2.1503404125,150.37813974
Rb3Sb,-16.93371662,-2.1167145775,407.668117676
RbBr,-6.14064914,-3.07032457,86.780506908
RbCaAs,-20.3551009,-3.39251681667,214.776150937
RbCaBr3,-70.84584349,-3.5422921745,712.998518305
RbCaCl3,-39.51124788,-3.951124788,314.486754725
RbCaF3,-25.92665528,-5.185331056,92.1700442555
RbCaI3,-61.98540378,-3.099270189,878.948426305
RbCaSb,-19.02808976,-3.17134829333,250.86897835
RbCdBr3,-52.24710424,-2.612355212,670.504767107
RbCdCl3,-58.97502849,-2.9487514245,581.100201675
RbCdF3,-19.77858812,-3.955717624,91.3029680397
RbCl,-6.58217781,-3.291088905,63.8263660618
RbF,-7.97934009,-3.989670045,41.2412181346
RbHgF3,-16.79032017,-3.358064034,98.9547468655
RbI,-5.41789523,-2.708947615,90.3702601241
RbMgCl3,-70.84226141,-3.5421130705,537.874183991
RbMgF3,-129.85469084,-4.32848969467,593.196888925
RbSrCl3,-19.37496004,-3.874992008,185.312021668
RbZnF3,-123.41474956,-4.11382498533,461.267397923
Sc2O3,-90.19255597,-9.019255597,119.78421679
Sc2S3,-69.23605495,-6.923605495,213.811757661
Sc2Se3,-63.03036345,-6.303036345,244.725326081
Sc2Te3,-112.92149514,-5.646074757,607.133217562
ScAs,-13.73724377,-6.868621885,41.3571153761
ScCl3,-40.69549273,-5.08693659125,235.204384211
ScF3,-24.24677336,-6.06169334,44.0630220792
ScN,-18.49415373,-9.247076865,23.0604636085
ScP,-13.61041503,-6.805207515,35.2643379907
ScSb,-11.68799149,-5.843995745,47.8053418927
Sr3As2,-17.98988965,-3.59797793,196.122941
Sr3N2,-194.17776213,-4.85444405325,942.397271379
Sr3P2,-168.90667224,-4.222666806,1233.23050479
Sr3Sb2,-16.39185794,-3.278371588,230.346397
SrAl2O4,-201.75266991,-7.20545249679,396.666033764
Sr(AlS2)2,-287.85569085,-5.14028019375,1338.83009155
Sr(AlSe2)2,-64.05510342,-4.57536453,387.672491492
Sr(AlTe2)2,-27.6002832,-3.9428976,239.439405553
SrBr2,-45.64224583,-3.80352048583,437.562529625
SrCl2,-12.84239639,-4.28079879667,87.4972664964
SrF2,-17.2859187,-5.7619729,50.4595808277
Sr(GaO2)2,-346.04760257,-6.17942147446,835.268764213
Sr(GaS2)2,-259.86299596,-4.64041064214,1360.25095439
Sr(GaTe2)2,-51.08475366,-3.64891097571,479.620030082
SrI2,-39.46278187,-3.28856515583,534.502497082
SrIn2O4,-162.98995154,-5.82106969786,386.22658
Sr(InS2)2,-248.48177149,-4.43717449089,1505.47395315
Sr(InSe2)2,-225.09049134,-4.01947305964,1715.07074888
Sr(InTe2)2,-24.36440358,-3.48062908286,281.462124682
SrLa2O4,-214.94126033,-7.67647358321,485.255190225
Sr(LaS2)2,-86.76177844,-6.19726988857,342.087099905
Sr(LaSe2)2,-79.78112685,-5.69865191786,386.077552399
SrO,-23.84809293,-5.9620232325,69.717353399
SrS,-9.51519099,-4.757595495,49.3675299377
SrSc2O4,-114.69144479,-8.19224605643,203.083301884
Sr(ScS2)2,-179.72267706,-6.41866703786,613.153231197
